Brand,Profile,Base,Nozzle C,First layer C,Official nozzle range C,Bed C,Official bed range C,MVS mm3/s,Density g/cm3,Temperature check,Bed check,H2C compatibility,Source,Notes
ELEGOO,ELEGOO PLA @BBL H2C,Generic PLA @base,215,220,190-230,55,35-65,14,1.26,PASS,PASS,PASS,https://eu.elegoo.com/en-dk/products/pla-filament-1-75mm-colored-1kg,Official <300 mm/s. Conservative H2C MVS.
ELEGOO,ELEGOO PLA Plus @BBL H2C,Generic PLA @base,220,225,200-230,55,35-65,16,1.3,PASS,PASS,PASS,https://eu.elegoo.com/en-nl/products/elegoo-pla-plus-filament-1-75mm-4-colors-10kg,Official <280 mm/s.
ELEGOO,ELEGOO Rapid PLA Plus @BBL H2C,Generic PLA @base,225,230,200-230,55,35-65,26,1.23,PASS,PASS,PASS,https://eu.elegoo.com/de-at/products/rapid-pla-plus-filament-1-75mm-grey-10kg,Official <600 mm/s; MVS intentionally conservative pending spool calibration.
ELEGOO,ELEGOO PLA Pro @BBL H2C,Generic PLA @base,205,210,180-210,55,35-65,16,1.24,PASS,PASS,PASS,https://eu.elegoo.com/collections/filaments/products/pla-pro-filament-1-75mm-colored-10kg,Official <300 mm/s.
ELEGOO,ELEGOO PLA Matte @BBL H2C,Generic PLA @base,215,220,190-230,55,35-65,12,1.26,PASS,PASS,PASS,https://eu.elegoo.com/en-it/products/pla-matte-filament-1-75mm-colored-1kg,Lower MVS to preserve matte finish.
ELEGOO,ELEGOO PLA Silk @BBL H2C,Generic PLA @base,220,225,190-230,55,35-65,10,1.25,PASS,PASS,PASS,https://eu.elegoo.com/en-nl/products/elegoo-silk-pla-filament-1-75mm-colored-1kg,Lower MVS to preserve gloss.
ELEGOO,ELEGOO Rapid PETG @BBL H2C,Generic PETG @base,255,260,240-270,70,65-75,22,1.29,PASS,PASS,PASS,https://eu.elegoo.com/en-ie/collections/elegoo-coupon-eligible-productsinclude-cc/products/rapid-petg-filament-1-75mm-colored-1kg,Official <600 mm/s; conservative MVS.
ELEGOO,ELEGOO PETG Pro @BBL H2C,Generic PETG @base,250,255,230-260,70,65-75,15,1.27,PASS,PASS,PASS,https://eu.elegoo.com/en-at/products/petg-pro-filament-1-75mm-colored-1kg,Official <270 mm/s.
ELEGOO,ELEGOO PETG Translucent @BBL H2C,Generic PETG @base,250,255,230-260,70,65-75,12,1.24,PASS,PASS,PASS,https://eu.elegoo.com/en-es/products/petg-translucent-filament-10-kg,Lower MVS favors clarity.
ELEGOO,ELEGOO PETG-CF @BBL H2C,Generic PETG @base,255,260,240-270,70,65-75,12,1.29,PASS,PASS,PASS,https://eu.elegoo.com/products/petg-cf-filament-1-75mm-colored-1kg,Hardened/wear-resistant nozzle recommended.
ELEGOO,ELEGOO PETG-GF @BBL H2C,Generic PETG @base,255,260,240-270,70,65-75,12,1.29,PASS,PASS,PASS,https://eu.elegoo.com/en-ie/products/petg-gf-filament-1-75mm-colored-1kg,ELEGOO explicitly recommends hardened steel >=0.4 mm; dry before use.
ELEGOO,ELEGOO ASA @BBL H2C,Generic ASA @base,260,265,240-270,95,90-100,15,1.09,PASS,PASS,PASS,https://eu.elegoo.com/en-ch/products/asa-filament-1-75mm-colored-1kg,Official chamber 45-60C; enclosure strongly preferred.
ELEGOO,ELEGOO PAHT-CF @BBL H2C,Generic PA @base,280,285,260-290,100,90-110,8,1.2,PASS,PASS,PASS,https://eu.elegoo.com/products/paht-cf-filament-1-75mm-colored-1kg,Enclosure required; hardened nozzle; dry 80C/8h per ELEGOO.
ELEGOO,ELEGOO PC-FR @BBL H2C,Generic PC @base,275,280,260-280,100,90-110,8,1.18,PASS,PASS,PASS,https://eu.elegoo.com/en-ax/products/pc-fr,Enclosure and glue required; hardened nozzle recommended.
ELEGOO,ELEGOO PET-CF @BBL H2C,Generic PET @base,280,285,260-290,100,90-110,8,1.32,PASS,PASS,PASS,https://eu.elegoo.com/en-be/products/pet-cf,Enclosure and glue required; hardened nozzle recommended.
ELEGOO,ELEGOO Rapid TPU 95A @BBL H2C,Generic TPU @base,220,225,200-230,40,30-45,4.5,1.27,PASS,PASS,PASS,https://eu.elegoo.com/en-es/products/rapid-tpu-95a-filament-1-75-mm-colored-10-kg,Official <200 mm/s; dry 70C/8h. Flexible-feed-path limitations still apply.
